company,estimated_revenue_eur_million,city,sectors_active,website
BASELL POLYOLEFINE,4260,Wesseling,"Chemicals, Petroleum, Rubber & Plastic",http://www.basell-wesseling.de
BASF,60512,Ludwigshafen Am Rhein,"Chemicals, Petroleum, Rubber & Plastic",http://www.basf.com
BASIC LEBENSMITTELHANDEL,134,Muenchen,Retail,http://www.basic-ag.de
BASLER,162,Ahrensburg,"Industrial, Electric & Electronic Machinery",http://www.baslerweb.com
BRITISH AMERICAN TOBACCO (GERMANY),1265,Hamburg,Food & Tobacco Manufacturing,http://www.bat.de
BAUER,1490,Schrobenhausen,"Industrial, Electric & Electronic Machinery",http://www.bauer.de
BAUERFEIND,241,Zeulenroda-Triebes,Wholesale,http://www.bauerfeind.com
J. BAUER,720,Wasserburg,Business Services,http://www.bauer-gruppe.de
BAUERNGUT FLEISCH- UND WURSTWAREN,562,Minden,Food & Tobacco Manufacturing,http://www.bauerngut.de
BAUER-WALR,155,Keltern,Mining & Extraction,http://www.bauer-walser.net
BAUKING,1042,Iserlohn,Business Services,http://www.bauking.de
BAUKNECHT HAUSGERAETE,341,Stuttgart,"Industrial, Electric & Electronic Machinery",http://www.bauknecht.de
BAUM HOLDING,287,Hannover,Business Services,http://www.baum-gruppe.com
BAUSTAHLGEWEBE SERVICES,1199,Eberbach,Metals & Metal Products,http://www.baustahlgewebe.com
BAUVEREIN,135,Darmstadt,Property Services,http://www.bauvereinag.de
BAUWERT,161,Bad Koetzting,,http://www.bauwert.de
BAVARIA FILM,290,Gruenwald,Media & Broadcasting,http://www.bavaria-film.de
BAXTER ONCOLOGY,430,Halle,"Chemicals, Petroleum, Rubber & Plastic",http://www.baxter-oncology.com
BAYER,48547,Leverkusen,"Chemicals, Petroleum, Rubber & Plastic",http://www.bayer.com
BAYERNGAS,3774,Muenchen,Utilities,http://www.bayerngas.de
BAYERNGAS ENERGY,3669,Muenchen,Wholesale,http://www.bayerngas-vertrieb.de
BAYERNOIL RAFFINERIEGESELLSCHAFT,464,Vohburg,"Chemicals, Petroleum, Rubber & Plastic",http://www.bayernoil.de
BAYWA,17173,Munchen,Wholesale,http://www.baywa.de
BAYWA AGRARHANDEL,329,Nienburg,Wholesale,http://www.baywa-agrarhandel.de
BBC CHARTERING CARRIERS,771,Leer,"Transport, Freight & Storage",http://www.bbc-chartering.com
B. BRAUN MELSUNGEN,7324,Melsungen,"Chemicals, Petroleum, Rubber & Plastic",http://www.bbraun.de
BAYERISCHE BEAMTEN VERSICHERUNG,138,Munchen,"Banking, Insurance & Financial Services",http://www.bbv.de
BIELEFELDER BETEILIGUNGS- UND VERMOEGENSVERWALTUNGSGESELLSCHAFT,784,Bielefeld,Business Services,http://www.bbvg-bielefeld.de
BETRIEBS-CENTER FUER BANKEN,222,Frankfurt,Business Services,http://www.bcb-ag.de
BCG,1540,Muenchen,Business Services,http://www.bcg.de
BECTON DICKINSON GESELLSCHAFT MIT BESCHRAENKTER,295,Heidelberg,Wholesale,http://www.bd.com/de
BDO WIRTSCHAFTSPRUEFUNGSGELLSCHAFT,209,Hamburg,Business Services,http://www.bdo.de
BEARINGPOINT,310,Frankfurt,Business Services,http://www.bearingpoint.de
BEB ERDGAS UND ERDOEL,543,Hannover,Business Services,http://www.beb.de
BECHTLE,5403,Neckarsulm,Computer Software,http://www.bechtle.com
BECKER HOLDING,153,Friedrichsthal,Business Services,http://www.becker-mining.com
BECKHOFF AUTOMATION,743,Verl,"Industrial, Electric & Electronic Machinery",http://www.beckhoff.de
BEHR,271,Seevetal,Wholesale,http://www.behr-ag.com
BEIERSDORF,7818,Hamburg,"Chemicals, Petroleum, Rubber & Plastic",http://www.beiersdorf.com
BEISELEN,1093,Ulm,Wholesale,http://www.beiselen.de
BEL DEUTSCHLAND,291,Grasbrunn,Food & Tobacco Manufacturing,http://www.bel-deutschland.de
BELFOR DEUTSCHLAND,874,Duisburg,Business Services,http://www.belfor.de
BELL DEUTSCHLAND,432,Seevetal,Food & Tobacco Manufacturing,http://www.bell.ch
BELRON,350,Koeln,Business Services,http://www.belron.com
BENTELER AUTOMOBILTECHNIK,1436,Paderborn,Transport Manufacturing,http://www.benteler.com
BENTELER STEEL/TUBE,1080,Paderborn,Metals & Metal Products,http://www.benteler-steeltube.com/de
BERENTZEN-GRUPPE,171,Haselunne,Food & Tobacco Manufacturing,http://www.berentzen-gruppe.de
BERESA,341,Muenster,Wholesale,http://www.beresa.de
BERGER HOLDING,597,Passau,Business Services,http://www.bergerholding.eu
FLUGHAFEN BERLIN BRANDENBURG,451,Schoenefeld,"Transport, Freight & Storage",http://www.berlin-airport.de
BERLIN-CHEMIE,1289,Berlin,"Chemicals, Petroleum, Rubber & Plastic",http://www.berlin-chemie.de
BERLIN HYP,336,Berlin,"Banking, Insurance & Financial Services",http://www.berlinhyp.de
BERLINOVO IMMOBILIEN GESELLSCHAFT,495,Berlin,Business Services,http://www.berlinovo.de
BERNER,1091,Kuenzelsau,Business Services,http://www.berner-group.com
F. H. BERTLING LOGISTICS HOLDING,323,Hamburg,Business Services,http://www.bertling.com
BERTRANDT,1032,Ehningen,Business Services,http://www.bertrandt.com
BERZELIUS STOLBERG,407,Stolberg,,http://www.berzelius.de
BESTSELLER TEXTILHANDELS,588,Hamburg,Wholesale,http://www.bestseller.com
BET-AT-HOME.COM,143,Dusseldorf,"Travel, Personal & Leisure",http://www.bet-at-home.ag
BETZ BETEILIGUNGSGESELLSCHAFT,375,Buchholz,Business Services,http://www.betz-holding.com
